BX = 000 Event : 1
2 0 0101110|110|101|011 0x5DAB
3 0 0110011|101|111|010 0x677A
4 0 0110111|101|110|001 0x6F71
5 0 0001101|001|000|001 0x1A41
BX = 001 Event : 2
1 0 0100010|001|010|110 0x4456
2 0 0100101|001|000|010 0x4A42
2 1 0101010|101|001|111 0x554F
3 0 0101101|000|100|001 0x5A21
3 1 0101111|000|010|010 0x5E12
3 2 0110011|100|010|101 0x6715
3 3 0110100|000|100|101 0x6825
3 4 0110110|001|100|111 0x6C67
4 0 0001011|110|110|111 0x17B7
5 0 0001100|101|100|000 0x1960
6 0 0010110|101|001|010 0x2D4A
BX = 010 Event : 3
3 0 0100101|001|111|011 0x4A7B
4 0 0101000|000|111|100 0x503C
5 0 0001000|110|000|011 0x1183
7 0 0010010|000|101|011 0x242B
BX = 011 Event : 4
1 0 0111111|001|001|100 0x7E4C
1 1 1000001|101|100|110 0x8366
2 0 1001000|110|100|010 0x91A2
3 0 1011100|001|010|100 0xB854
3 1 1011101|001|100|101 0xBA65
3 2 1011110|001|110|110 0xBC76
4 0 1100001|000|010|100 0xC214
5 0 0010011|100|000|001 0x2701
5 1 0100101|100|110|110 0x4B36
5 2 0100110|101|110|110 0x4D76
7 0 0110011|000|011|011 0x661B
BX = 100 Event : 5
1 0 0101001|110|011|000 0x5398
1 1 0101100|101|011|110 0x595E
1 2 0101101|100|011|110 0x5B1E
2 0 0110001|001|000|010 0x6242
2 1 0110011|101|011|100 0x675C
2 2 0110100|101|010|111 0x6957
3 0 0111001|101|100|010 0x7362
3 1 0111100|000|110|100 0x7834
3 2 0111110|101|001|101 0x7D4D
7 0 0100010|101|001|110 0x454E
BX = 101 Event : 6
2 0 0101100|100|010|101 0x5915
3 0 0110011|000|000|001 0x6601
3 1 0110100|101|010|101 0x6955
4 0 0010100|000|010|111 0x2817
BX = 110 Event : 7
0 0 0100010|101|010|100 0x4554
0 1 0100110|001|011|110 0x4C5E
3 0 0110101|000|001|010 0x6A0A
3 1 0110110|000|001|010 0x6C0A
5 0 0001001|000|111|010 0x123A
6 0 0010110|001|110|101 0x2C75
BX = 111 Event : 8
2 0 0011111|101|111|111 0x3F7F
3 0 0100000|101|100|010 0x4162
3 1 0100001|000|100|010 0x4222
3 2 0100010|100|100|011 0x4523
3 3 0100011|101|000|101 0x4745
3 4 0100100|101|101|110 0x496E
6 0 0010001|110|011|111 0x239F
BX = 000 Event : 9
0 0 0101010|100|000|010 0x5502
1 0 0110011|101|011|100 0x675C
2 0 0110111|110|011|010 0x6F9A
2 1 1000010|001|100|111 0x8467
3 0 1000110|001|111|010 0x8C7A
3 1 1000111|100|111|010 0x8F3A
4 0 0010000|110|110|110 0x21B6
5 0 0011001|101|101|101 0x336D
BX = 001 Event : 10
1 0 0011001|100|110|000 0x3330
4 0 0100101|100|100|100 0x4B24
7 0 0010000|100|011|010 0x211A
BX = 010 Event : 11
0 0 0101001|001|001|111 0x524F
2 0 0110100|001|111|101 0x687D
2 1 0110101|001|011|101 0x6A5D
2 2 0110111|001|011|111 0x6E5F
2 3 0111001|110|111|111 0x73BF
3 0 0111010|001|001|000 0x7448
4 0 0111110|000|001|001 0x7C09
5 0 0010000|110|101|000 0x21A8
5 1 0010011|100|110|010 0x2732
